iter	Passed	Remaining
171	582	2803
172	585	2799
173	588	2795
174	591	2790
175	595	2787
176	598	2783
177	601	2778
178	604	2774
179	608	2771
180	611	2768
181	615	2765
182	618	2761
183	621	2758
184	625	2754
185	628	2751
186	631	2747
187	635	2743
188	638	2739
189	641	2736
190	645	2732
191	648	2728
192	651	2725
193	654	2721
194	658	2717
195	661	2713
196	664	2709
197	667	2705
198	671	2701
199	674	2699
200	678	2695
201	681	2691
202	684	2687
203	688	2684
204	691	2681
205	694	2677
206	697	2673
207	701	2670
208	704	2666
209	707	2661
210	710	2657
211	713	2653
212	717	2649
213	720	2645
214	723	2641
215	726	2638
216	729	2634
217	733	2630
218	736	2626
219	739	2623
220	743	2619
221	746	2615
222	749	2611
223	752	2608
224	755	2603
225	759	2600
226	762	2596
227	765	2593
228	769	2589
229	772	2586
230	775	2582
231	779	2578
232	782	2575
233	785	2571
234	788	2567
235	792	2564
236	795	2560
237	798	2557
238	801	2552
239	804	2548
240	807	2544
241	811	2540
242	814	2536
243	817	2533
244	820	2529
245	824	2526
246	827	2522
247	830	2519
248	833	2514
249	836	2510
250	840	2507
251	843	2504
252	846	2500
253	850	2497
254	853	2493
255	856	2490
256	860	2486
257	863	2483
258	866	2479
259	869	2476
260	873	2472
261	876	2469
262	880	2466
263	883	2462
264	886	2459
265	889	2455
266	893	2452
267	896	2448
268	899	2445
269	903	2442
270	906	2438
271	909	2434
272	913	2431
273	926	2455
274	930	2452
275	933	2448
276	936	2444
277	940	2441
278	943	2438
279	946	2434
280	949	2430
281	952	2426
282	956	2423
283	959	2419
284	963	2416
285	966	2413
286	970	2409
287	973	2406
288	976	2402
289	979	2398
290	983	2395
291	986	2391
292	989	2388
293	993	2385
294	996	2382
295	1000	2379
296	1003	2376
297	1007	2372
298	1010	2369
299	1014	2366
300	1017	2363
301	1020	2359
302	1024	2356
303	1027	2352
304	1031	2350
305	1035	2347
306	1038	2344
307	1041	2340
308	1045	2337
309	1048	2334
310	1052	2331
311	1055	2327
312	1059	2324
313	1062	2321
314	1066	2318
315	1069	2315
316	1072	2311
317	1076	2308
318	1079	2305
319	1083	2302
320	1086	2298
321	1090	2295
322	1093	2292
323	1097	2289
324	1100	2286
325	1104	2282
326	1107	2279
327	1111	2276
328	1114	2273
329	1118	2270
330	1121	2266
331	1124	2263
332	1128	2260
333	1132	2257
334	1135	2254
335	1139	2250
336	1142	2248
337	1146	2245
338	1150	2242
339	1153	2238
340	1156	2235
341	1160	2232
342	1163	2229
343	1167	2226
344	1170	2222
345	1174	2219
346	1177	2216
347	1181	2213
348	1184	2209
349	1188	2206
350	1191	2203
351	1195	2199
352	1198	2196
353	1201	2193
354	1205	2189
355	1208	2187
356	1212	2183
357	1215	2179
358	1218	2176
359	1222	2173
360	1226	2170
361	1229	2166
362	1233	2163
363	1236	2160
364	1240	2157
365	1243	2154
366	1247	2150
367	1250	2147
368	1254	2144
369	1257	2140
370	1260	2137
371	1264	2134
372	1267	2130
373	1271	2127
374	1275	2125
375	1278	2121
376	1281	2118
377	1285	2115
378	1289	2112
379	1292	2108
380	1295	2105
381	1299	2102
382	1302	2098
383	1306	2095
384	1310	2092
385	1313	2089
386	1316	2085
387	1320	2082
388	1323	2079
389	1327	2076
390	1330	2072
391	1334	2069
392	1337	2066
393	1341	2063
394	1344	2059
395	1347	2055
396	1351	2052
397	1354	2049
398	1358	2046
399	1361	2042
400	1365	2039
401	1369	2036
402	1372	2033
403	1375	2029
404	1379	2026
405	1382	2022
406	1386	2019
407	1389	2016
408	1393	2013
409	1396	2009
410	1400	2006
411	1403	2003
412	1407	2000
413	1410	1996
414	1414	1993
415	1417	1990
416	1421	1987
417	1424	1983
418	1428	1980
419	1431	1977
420	1435	1973
421	1438	1970
422	1442	1967
423	1445	1963
424	1449	1961
425	1452	1957
426	1456	1953
427	1459	1950
428	1463	1947
429	1466	1944
430	1470	1941
431	1473	1937
432	1477	1934
433	1480	1931
434	1484	1927
435	1487	1924
436	1491	1921
437	1494	1917
438	1497	1914
439	1501	1910
440	1504	1907
441	1508	1903
442	1511	1900
443	1515	1897
444	1519	1894
445	1522	1891
446	1526	1888
447	1529	1885
448	1533	1881
449	1536	1878
450	1540	1875
451	1543	1871
452	1547	1868
453	1551	1865
454	1554	1861
455	1557	1858
456	1561	1855
457	1564	1852
458	1568	1848
459	1572	1845
460	1575	1842
461	1579	1838
462	1582	1835
463	1586	1832
464	1589	1829
465	1593	1825
466	1596	1822
467	1600	1819
468	1603	1815
469	1607	1812
470	1611	1809
471	1614	1806
472	1618	1803
473	1621	1799
474	1625	1796
475	1629	1793
476	1632	1790
477	1636	1786
478	1639	1783
479	1643	1779
480	1646	1776
481	1650	1773
482	1653	1769
483	1657	1766
484	1660	1763
485	1664	1760
486	1667	1756
487	1671	1753
488	1675	1750
489	1678	1747
490	1682	1743
491	1685	1740
492	1688	1736
493	1692	1733
494	1696	1730
495	1699	1727
496	1703	1723
497	1706	1720
498	1710	1717
499	1713	1713
500	1717	1710
501	1720	1707
502	1724	1704
503	1728	1700
504	1731	1697
505	1735	1693
506	1738	1690
507	1742	1687
508	1745	1683
509	1749	1680
510	1752	1677
511	1756	1673
512	1759	1670
513	1763	1667
514	1766	1663
515	1769	1660
516	1773	1657
517	1777	1654
518	1780	1650
519	1784	1647
520	1788	1643
521	1791	1640
522	1794	1637
523	1798	1633
524	1801	1630
525	1805	1627
526	1809	1624
527	1812	1620
528	1816	1617
529	1820	1614
530	1823	1610
531	1827	1607
532	1830	1604
533	1834	1600
534	1838	1597
535	1841	1594
536	1844	1590
537	1848	1587
538	1851	1583
539	1855	1580
540	1859	1577
541	1862	1573
542	1865	1570
543	1869	1566
544	1872	1563
545	1876	1560
546	1879	1556
547	1882	1553
548	1886	1549
549	1890	1546
550	1893	1543
551	1897	1539
552	1900	1536
553	1904	1532
554	1907	1529
555	1911	1526
556	1914	1522
557	1918	1519
558	1921	1516
559	1925	1512
560	1928	1509
561	1932	1505
562	1935	1502
563	1939	1499
564	1943	1495
565	1946	1492
566	1950	1489
567	1953	1485
568	1957	1482
569	1960	1479
570	1964	1475
571	1967	1472
572	1971	1469
573	1974	1465
574	1978	1462
575	1982	1459
576	1985	1455
577	1989	1452
578	1992	1449
579	1996	1445
580	1999	1442
581	2003	1439
582	2006	1435
583	2010	1432
584	2014	1428
585	2017	1425
586	2021	1422
587	2024	1418
588	2028	1415
589	2031	1412
590	2035	1408
591	2039	1405
592	2042	1401
593	2046	1398
594	2050	1395
595	2053	1392
596	2056	1388
597	2060	1385
598	2064	1381
599	2067	1378
600	2071	1375
601	2074	1371
602	2078	1368
603	2081	1364
604	2085	1361
605	2088	1357
606	2092	1354
607	2095	1351
608	2099	1347
609	2102	1344
610	2106	1341
611	2109	1337
612	2113	1334
613	2117	1331
614	2120	1327
615	2124	1324
616	2127	1320
617	2131	1317
618	2134	1313
619	2138	1310
620	2141	1307
621	2145	1303
622	2148	1300
623	2152	1296
624	2155	1293
625	2159	1289
626	2162	1286
627	2166	1283
628	2169	1279
629	2173	1276
630	2176	1273
631	2180	1269
632	2184	1266
633	2187	1262
634	2190	1259
635	2194	1255
636	2197	1252
637	2200	1248
638	2204	1245
639	2207	1241
640	2211	1238
641	2215	1235
642	2218	1231
643	2221	1228
644	2225	1225
645	2229	1221
646	2233	1218
647	2236	1214
648	2239	1211
649	2243	1208
650	2247	1204
651	2251	1201
652	2254	1198
653	2258	1194
654	2262	1191
655	2265	1188
656	2268	1184
657	2272	1181
658	2276	1177
659	2279	1174
660	2283	1171
661	2287	1167
662	2290	1164
663	2294	1161
664	2297	1157
665	2301	1154
666	2305	1150
667	2308	1147
668	2312	1144
669	2315	1140
670	2318	1136
671	2322	1133
672	2326	1130
673	2329	1126
674	2333	1123
675	2336	1120
676	2340	1116
677	2343	1113
678	2347	1109
679	2350	1106
680	2354	1102
681	2357	1099
682	2361	1095
683	2364	1092
684	2368	1088
685	2371	1085
686	2375	1082
687	2378	1078
688	2382	1075
689	2385	1071
690	2389	1068
691	2392	1064
692	2396	1061
693	2399	1058
694	2403	1054
695	2406	1051
696	2410	1047
697	2413	1044
698	2417	1040
699	2420	1037
700	2424	1034
701	2427	1030
702	2431	1027
703	2435	1023
704	2438	1020
705	2442	1017
706	2445	1013
707	2449	1010
708	2453	1006
709	2456	1003
710	2459	999
711	2463	996
712	2466	993
713	2470	989
714	2474	986
715	2477	982
716	2481	979
717	2485	976
718	2488	972
719	2492	969
720	2495	965
721	2499	962
722	2502	958
723	2505	955
724	2509	951
725	2513	948
726	2516	944
727	2520	941
728	2523	938
729	2526	934
730	2530	931
731	2534	927
732	2537	924
733	2540	920
734	2544	917
735	2548	913
736	2551	910
737	2554	907
738	2558	903
739	2561	900
740	2565	896
741	2568	893
742	2571	889
743	2575	886
744	2578	882
745	2582	879
746	2585	875
747	2589	872
748	2592	868
749	2596	865
750	2599	861
751	2602	858
752	2605	854
753	2609	851
754	2612	847
755	2616	844
756	2619	840
757	2623	837
758	2626	834
759	2630	830
760	2633	827
761	2637	823
762	2640	820
763	2643	816
764	2647	813
765	2650	809
766	2654	806
767	2657	802
768	2661	799
769	2664	795
770	2668	792
771	2671	788
772	2674	785
773	2678	782
774	2681	778
775	2684	774
776	2688	771
777	2691	768
778	2695	764
779	2699	761
780	2702	757
781	2705	754
782	2709	750
783	2713	747
784	2716	744
785	2720	740
786	2723	737
787	2726	733
788	2730	730
789	2733	726
790	2737	723
791	2740	719
792	2743	716
793	2747	712
794	2750	709
795	2754	705
796	2757	702
797	2761	698
798	2764	695
799	2768	692
800	2771	688
801	2775	685
802	2778	681
803	2781	678
804	2785	674
805	2788	671
806	2791	667
807	2795	664
808	2799	660
809	2802	657
810	2806	654
811	2810	650
812	2813	647
813	2816	643
814	2820	640
815	2823	636
816	2827	633
817	2830	629
818	2833	626
819	2837	622
820	2840	619
821	2843	615
822	2847	612
823	2850	608
824	2854	605
825	2857	601
826	2860	598
827	2864	595
828	2867	591
829	2871	588
830	2874	584
831	2878	581
832	2881	577
833	2901	577
834	2904	573
835	2908	570
836	2911	567
837	2915	563
838	2919	560
839	2922	556
840	2926	553
841	2929	549
842	2933	546
843	2936	542
844	2939	539
845	2943	535
846	2946	532
847	2950	528
848	2953	525
849	2956	521
850	2960	518
851	2963	514
852	2967	511
853	2970	507
854	2973	504
855	2977	500
856	2980	497
857	2984	493
858	2987	490
859	2991	486
860	2995	483
861	2998	480
862	3002	476
863	3005	473
864	3008	469
865	3012	466
866	3013	462
867	3017	458
868	3020	455
869	3023	451
870	3027	448
871	3030	444
872	3033	441
873	3037	437
874	3040	434
875	3043	430
876	3047	427
877	3050	423
878	3054	420
879	3057	416
880	3060	413
881	3064	409
882	3067	406
883	3071	403
884	3074	399
885	3077	396
886	3081	392
887	3084	389
888	3088	385
889	3091	382
890	3095	378
891	3098	375
892	3101	371
893	3105	368
894	3108	364
895	3112	361
896	3115	357
897	3119	354
898	3122	350
899	3126	347
900	3130	343
901	3133	340
902	3137	336
903	3140	333
904	3143	330
905	3147	326
906	3150	323
907	3153	319
908	3157	316
909	3160	312
910	3164	309
911	3167	305
912	3171	302
913	3174	298
914	3178	295
915	3181	291
916	3185	288
917	3188	284
918	3192	281
919	3195	277
920	3198	274
921	3202	270
922	3205	267
923	3209	263
924	3212	260
925	3215	256
926	3219	253
927	3222	250
928	3226	246
929	3229	243
930	3233	239
931	3236	236
932	3240	232
933	3243	229
934	3246	225
935	3250	222
936	3253	218
937	3256	215
938	3260	211
939	3263	208
940	3266	204
941	3269	201
942	3273	197
943	3276	194
944	3280	190
945	3283	187
946	3287	183
947	3290	180
948	3294	177
949	3297	173
950	3301	170
951	3304	166
952	3308	163
953	3311	159
954	3314	156
955	3318	152
956	3322	149
957	3325	145
958	3329	142
959	3332	138
960	3336	135
961	3340	131
962	3343	128
963	3347	124
964	3350	121
965	3354	118
966	3357	114
967	3361	111
968	3364	107
969	3367	104
970	3371	100
971	3374	97
972	3378	93
973	3381	90
974	3384	86
975	3388	83
976	3391	79
977	3395	76
978	3398	72
979	3402	69
980	3405	65
981	3409	62
982	3412	59
983	3416	55
984	3419	52
985	3423	48
986	3426	45
987	3429	41
988	3433	38
989	3436	34
990	3440	31
991	3443	27
992	3447	24
993	3450	20
994	3454	17
995	3457	13
996	3460	10
997	3464	6
998	3467	3
999	3471	0
