iter	MultiClass
0	0.9898070307
1	0.9082214189
2	0.8334543774
3	0.7812912499
4	0.7250305787
5	0.6741258222
6	0.6290592059
7	0.59457586
8	0.5632561867
9	0.5310778293
10	0.5004976926
11	0.4768809108
12	0.4534406544
13	0.4297898214
14	0.4125249749
15	0.3961921646
16	0.3812238316
17	0.3647883002
18	0.3502437732
19	0.3379413306
20	0.3261347662
21	0.3178538264
22	0.3093330139
23	0.2996255788
24	0.2912776777
25	0.2824133984
26	0.2746685114
27	0.2683691816
28	0.2610738051
29	0.2548570847
30	0.2486419971
31	0.2427259867
32	0.2375770521
33	0.231847295
34	0.2273585642
35	0.2233717578
36	0.2196303118
37	0.2164611552
38	0.2121521787
39	0.2081606278
40	0.2057384327
41	0.2016965711
42	0.1979822499
43	0.1938371442
44	0.1913702814
45	0.1882335562
46	0.1863156907
47	0.1834600229
48	0.1812122444
49	0.1778935675
50	0.1754757543
51	0.1723706606
52	0.1697756105
53	0.1673342729
54	0.1649781318
55	0.1628613585
56	0.1618981358
57	0.1598390887
58	0.1583244034
59	0.1567821583
60	0.1543301354
61	0.1520688377
62	0.1507246846
63	0.149179643
64	0.1465070507
65	0.1457373068
66	0.1449335501
67	0.1442771848
68	0.1429507016
69	0.1416697554
70	0.1404395171
71	0.1388959763
72	0.1378170755
73	0.1373208192
74	0.1366172614
75	0.1348202447
76	0.1332688911
77	0.131406878
78	0.1295931358
79	0.1285752606
80	0.1274379892
81	0.1259405043
82	0.1245620077
83	0.1232621354
84	0.1228431143
85	0.1213660455
86	0.1208255203
87	0.1202325319
88	0.1195624872
89	0.1184502078
90	0.1179283204
91	0.1168369622
92	0.1161321042
93	0.1153281774
94	0.1145818086
95	0.1133582322
96	0.1124363176
97	0.1118956149
98	0.1116534741
99	0.1107744927
100	0.1097639316
101	0.1091195203
102	0.1083357083
103	0.1069116333
104	0.1061266264
105	0.1047423665
106	0.1043107373
107	0.1030137769
108	0.1022503153
109	0.1017583088
110	0.1011522316
111	0.1003838493
112	0.09982340328
113	0.09878532228
114	0.09815363416
115	0.09722429774
116	0.09648429612
117	0.09605605962
118	0.09559181232
119	0.09494337682
120	0.09411449337
121	0.09329475828
122	0.0929808614
123	0.09277275127
124	0.09203976901
125	0.09154139998
126	0.09111180434
127	0.0903422596
128	0.0894953242
129	0.08886668015
130	0.0882280647
131	0.08747875691
132	0.08686665471
133	0.0867056999
134	0.08570989021
135	0.08512610002
136	0.08471400596
137	0.0838977161
138	0.08325190005
139	0.08260083682
140	0.08226147448
141	0.08165029691
142	0.08110546762
143	0.08070740034
144	0.08045696323
145	0.08001896778
146	0.07939288837
147	0.07872000066
148	0.07850135864
149	0.07821098009
150	0.0779015736
151	0.07728064289
152	0.07672836435
153	0.07610558832
154	0.07571024734
155	0.07493064686
156	0.07447362026
157	0.07415107816
158	0.07360855644
159	0.07322866725
160	0.07250372052
161	0.07196553859
162	0.07166343429
163	0.07104167169
164	0.07081061031
165	0.07013930544
166	0.06959252847
167	0.06895141986
168	0.06865013674
169	0.0684346361
170	0.06806015106
171	0.06731856322
172	0.06694845512
173	0.06636710996
174	0.06600685029
175	0.06551176211
176	0.06534006111
177	0.06510643268
178	0.06492182241
179	0.06458784292
180	0.06426079574
181	0.06367049786
182	0.06336714466
183	0.06273053056
184	0.06227259248
185	0.06175046215
186	0.06134530745
187	0.06095664417
188	0.06078461855
189	0.06019829033
190	0.05982942086
191	0.05958912334
192	0.05924281947
193	0.05896842993
194	0.05845958974
195	0.05827463279
196	0.05804152478
197	0.05757671695
198	0.05713690662
199	0.05673737161
200	0.05633000601
201	0.0561340789
202	0.05574825799
203	0.05537588952
204	0.05511913393
205	0.0548737834
206	0.05455867589
207	0.05418507274
208	0.05404617638
209	0.05382007801
210	0.05366730412
211	0.05357763453
212	0.05326037309
213	0.05296750195
214	0.05285378186
215	0.05246463695
216	0.05228295146
217	0.05188964254
218	0.05152360474
219	0.05115936087
220	0.05090553409
221	0.05074921884
222	0.05028405411
223	0.04996589026
224	0.04984620146
225	0.04962689888
226	0.04921992531
227	0.04895741163
228	0.04883717569
229	0.04846182104
230	0.04810909105
231	0.04777965059
232	0.04758693964
233	0.04725350752
234	0.0471287439
235	0.04689528943
236	0.04660301561
237	0.04643541802
238	0.046390153
239	0.04613012982
240	0.04599998764
241	0.04581615899
242	0.04552382916
243	0.04529869691
244	0.04508600328
245	0.04496067287
246	0.04465552639
247	0.04450620034
248	0.04448140263
249	0.0444114465
250	0.04424001282
251	0.04394399731
252	0.04380801829
253	0.04355436983
254	0.04339253072
255	0.04312020437
256	0.04294540203
257	0.04279909869
258	0.04253886915
259	0.04235347159
260	0.04224284103
261	0.04205833713
262	0.04172641225
263	0.04143522593
264	0.04127883534
265	0.0411561054
266	0.04093068408
267	0.04077155751
268	0.04066688256
269	0.0404039013
270	0.04030774133
271	0.0402038779
272	0.03996940362
273	0.03965893411
274	0.03954136438
275	0.03936782758
276	0.03925560535
277	0.03893721482
278	0.03882936765
279	0.03859495678
280	0.03850211628
281	0.03845392649
282	0.03827994695
283	0.03816965858
284	0.0379028559
285	0.03769414402
286	0.03746862042
287	0.03736861459
288	0.03714675652
289	0.0370069327
290	0.03684752829
291	0.03672609349
292	0.03660916006
293	0.03639151225
294	0.03619525656
295	0.03605178413
296	0.03583508904
297	0.03563009953
298	0.03548043608
299	0.03530780519
300	0.03521877375
301	0.03515446183
302	0.03499695902
303	0.03489228011
304	0.03466621343
305	0.03451795818
306	0.03442146634
307	0.03435855398
308	0.03414151175
309	0.03399329882
310	0.03378946004
311	0.03365761355
312	0.03354654105
313	0.03344641085
314	0.03324663722
315	0.0330623927
316	0.03294195667
317	0.032701461
318	0.032606783
319	0.03249230645
320	0.03226546478
321	0.03217105235
322	0.03200499479
323	0.03184163563
324	0.03177285855
325	0.0316549915
326	0.03153365513
327	0.03138239046
328	0.03132140061
329	0.03120668235
330	0.03110522954
331	0.03100258504
332	0.03089098169
333	0.03080969059
334	0.03073260642
335	0.0305953365
336	0.03048435686
337	0.03031692069
338	0.03018574608
339	0.03007273764
340	0.02999287909
341	0.02990228207
342	0.02974030265
343	0.02959013263
344	0.02947123481
345	0.02926500592
346	0.02913447934
347	0.02899814198
348	0.02891265658
349	0.02883412818
350	0.02879005924
351	0.02875303384
352	0.02857836175
353	0.02851788601
354	0.02842997368
355	0.02836934677
356	0.0282604944
357	0.02821337197
358	0.0281591884
359	0.02805612579
360	0.02803076644
361	0.02793372618
